user_id,group,show_id,clicked
0,serious,s6063,0
1,serious,s7240,0
2,control,s2326,0
3,control,s7612,0
4,control,s6593,0
5,control,s2886,1
6,witty,s6593,0
7,mysterious,s7920,0
8,witty,s2326,0
9,control,s2720,0
10,mysterious,s7612,0
11,control,s6063,0
12,mysterious,s2720,0
13,witty,s3557,0
14,serious,s355,0
15,enthusiastic,s2326,0
16,witty,s7150,0
17,witty,s7150,0
18,enthusiastic,s615,0
19,control,s7240,0
20,control,s2305,0
21,serious,s3363,0
22,enthusiastic,s7920,0
23,witty,s2326,0
24,control,s615,0
25,control,s3523,0
26,control,s7920,0
27,enthusiastic,s1676,0
28,witty,s6063,0
29,enthusiastic,s7612,0
30,mysterious,s6593,0
31,serious,s7095,0
32,enthusiastic,s2886,0
33,enthusiastic,s7920,0
34,control,s553,0
35,control,s2326,0
36,witty,s3363,0
37,enthusiastic,s7150,0
38,control,s7095,0
39,mysterious,s3557,0
40,enthusiastic,s7150,0
41,enthusiastic,s7095,0
42,serious,s4149,0
43,enthusiastic,s6603,0
44,serious,s2720,0
45,control,s2305,0
46,mysterious,s7240,0
47,control,s2326,0
48,control,s2720,0
49,mysterious,s607,0
50,serious,s2305,0
51,mysterious,s2326,0
52,witty,s6904,0
53,serious,s6593,0
54,serious,s6904,0
55,control,s7612,0
56,enthusiastic,s2305,0
57,mysterious,s3363,0
58,mysterious,s7240,0
59,enthusiastic,s7150,0
60,mysterious,s7240,1
61,enthusiastic,s3523,0
62,serious,s7920,1
63,serious,s7095,1
64,serious,s7612,0
65,mysterious,s4149,0
66,enthusiastic,s7612,0
67,mysterious,s6063,0
68,serious,s7150,0
69,enthusiastic,s7920,0
70,witty,s615,0
71,mysterious,s2305,0
72,witty,s6063,0
73,serious,s615,0
74,control,s7240,0
75,mysterious,s2168,0
76,control,s4149,0
77,serious,s355,0
78,witty,s3523,0
79,mysterious,s615,0
80,witty,s2720,0
81,control,s553,0
82,enthusiastic,s6603,0
83,serious,s3523,0
84,control,s6063,0
85,control,s615,0
86,enthusiastic,s2886,0
87,witty,s2326,0
88,enthusiastic,s355,0
89,enthusiastic,s6904,0
90,enthusiastic,s2168,0
91,mysterious,s4149,0
92,mysterious,s7150,0
93,control,s3557,0
94,enthusiastic,s4149,0
95,serious,s7095,0
96,enthusiastic,s1676,0
97,control,s3363,0
98,witty,s2720,0
99,control,s7920,0
100,serious,s4149,0
101,witty,s2720,0
102,control,s7612,0
103,witty,s6063,0
104,serious,s8485,0
105,mysterious,s6593,0
106,witty,s3026,0
107,enthusiastic,s7095,0
108,serious,s6904,0
109,serious,s7920,0
110,control,s7240,1
111,enthusiastic,s6593,0
112,enthusiastic,s7920,1
113,enthusiastic,s2720,0
114,mysterious,s6603,0
115,witty,s7095,0
116,serious,s607,0
117,control,s3026,0
118,enthusiastic,s615,0
119,enthusiastic,s6063,0
120,enthusiastic,s3026,0
121,serious,s6063,0
122,serious,s6593,0
123,control,s6603,0
124,control,s6904,0
125,mysterious,s2305,0
126,serious,s4149,0
127,mysterious,s3523,0
128,enthusiastic,s3523,0
129,witty,s607,0
130,mysterious,s7612,0
131,mysterious,s2886,0
132,enthusiastic,s7240,0
133,mysterious,s7095,0
134,enthusiastic,s355,0
135,mysterious,s6904,0
136,serious,s8485,0
137,serious,s615,0
138,serious,s4149,0
139,serious,s8485,0
140,serious,s1676,0
141,mysterious,s4149,0
142,control,s607,0
143,enthusiastic,s2720,0
144,mysterious,s615,0
145,control,s607,0
146,enthusiastic,s7612,0
147,witty,s355,1
148,witty,s7612,0
149,mysterious,s3557,0
