show_id,title,original_synopsis,generated_enthusiastic,generated_mysterious,generated_serious,generated_witty
s355,The Last Boy Scout,Private eye Joe Hallenbeck is forced to team up with a disgraced quarterback to uncover a conspiracy by a politician and a football team owner.,"Get ready for THE LAST BOY SCOUT! Bruce Willis and Damon Wayans explode onto the screen! An ex-P.I. and a disgraced quarterback are FORCED to team up against a deadly conspiracy! Prepare for non-stop action, hilarious banter, and pure, unadulterated THRILLS! You won't believe it!","A cynical shadow and a fallen idol are tethered by fate. Beneath the city's glittering facade, a rot festers, threatening to consume all. They must unearth the gilded conspiracy, or become its next forgotten victims.","Tony Scott's kinetic thriller plunges a cynical private eye and a disgraced athlete into a neon-drenched underworld of political corruption. Their unlikely alliance navigates a morally bankrupt system, seeking a sliver of integrity amidst the chaos.","When a burnt-out private eye and a disgraced quarterback are thrown together, bullets fly and cynicism reigns! They're the only ones who can stop a deadly conspiracy, even if they kill each other first. Explosive, witty, and a total blast!"
s553,Holiday on Mars,A scoundrel's mission to escape his family and remarry on Mars is hilariously scrubbed when a mishap with a black hole turns his son into an old man.,"OH MY GOSH! You GUYS! A scoundrel's wild plan to ditch his family and marry on MARS gets totally messed up when a BLACK HOLE turns his son into an old man! It’s cosmic, hilarious, family CHAOS! You HAVE to see it!","A selfish heart's crimson ambition. But the void itself has a twisted humor, a temporal jest. Now, a son’s future crumbles, his years stolen, leaving only echoes of what was meant to be.","A self-serving patriarch's ambitious Martian escape from familial responsibility is catastrophically upended. A cosmic anomaly prematurely ages his son, compelling a profound reckoning with time's relentless passage and the true cost of his own ambition, blurring the lines between past and future.","Ditching your family for a Martian wedding? This guy's escape plan hits a snag when a black hole turns his kid into a grandpa! Get ready for a hilarious, time-bending scramble that proves some family drama is truly inescapable."
s607,The Queen,"After Princess Diana's death, Queen Elizabeth II and Tony Blair face public demands that she be memorialized in a manner beyond standard protocol.","HOLD ON! When Diana dies, a nation explodes in grief! Queen Elizabeth II faces an UNTHINKABLE choice: stick to rigid protocol or answer the people's cries! The monarchy will NEVER be the same! So MUCH drama!","A singular tragedy shatters a kingdom's composure. Amidst a tempest of public grief, a stoic crown must confront its own hardened heart. Centuries of protocol are challenged, threatening to expose the very soul of an institution to an unprecedented world.","Stephen Frears masterfully dissects the profound constitutional and emotional crisis following Princess Diana's death. Queen Elizabeth II's stoic adherence to tradition collides with a grieving nation's demand for public mourning, forcing a monarch to navigate the chasm between duty and empathy.","Forget stiff upper lips! After Diana's death, Queen Elizabeth II faces a nation in raw grief, demanding unprecedented change. Can she bend centuries of protocol without breaking the monarchy? Witness the shocking, emotional battle for the crown's heart."
s615,What Dreams May Come,"A physician finds himself in heaven after an accident, inhabiting the landscape of his wife's paintings while seeking to rescue her from the underworld.","OMG! After a tragic accident, a man discovers a HEAVEN built from his wife's paintings! But when she's lost to the underworld, he embarks on an EPIC, soul-stirring journey through breathtaking realms to save her! PURE, UNDYING LOVE!","A soul awakens to a world painted by memory and love, only to discover a greater darkness has claimed its counterpart. A desperate journey begins, where reality bends and the price of reunion might be everything.","A visually audacious journey, this film plunges into the profound depths of love and loss. A man, finding his afterlife shaped by his wife's art, embarks on an ethereal descent, defying cosmic boundaries to rescue her soul from the clutches of despair.","Imagine a love so powerful it defies the afterlife itself. When a man dies, his heaven is a breathtaking landscape of his wife's art. But when she's lost to hell, he'll tear through dimensions to save her. Get ready to *feel* everything."
s1676,Break Ke Baad,Childhood friends Abhay and Aaliya experience plenty of obstacles in their paths as they find their way in the world and back to each other.,"OMG, get ready for an emotional rollercoaster! Childhood besties Abhay and Aaliya hit HUGE roadblocks trying to find themselves! But will destiny—and their hearts—finally reunite them?! It's an EPIC journey back to each other, you guys! SO MUCH LOVE!","Childhood's fragile promise shatters amidst a world of choices. Two intertwined fates, pulled apart by unseen forces, must navigate a labyrinth of doubt. But what truths lie buried in the spaces between them, waiting to be unearthed?","A vibrant exploration of modern love, this film charts the divergent paths of childhood friends Abhay and Aaliya. It poignantly examines how self-discovery and life's complexities challenge an enduring bond, questioning the very nature of their intertwined destinies.","Think childhood sweethearts are forever? Abhay and Aaliya navigate life's messy detours and *actual* breaks, but some bonds are just too stubborn to let go. Get ready for a witty, heartwarming journey back to destiny!"
s2168,Malibu Rescue: The Next Wave,"As summer returns to Malibu, Team Flounder takes to the beach to host — and unexpectedly compete in — the International Beachmaster Competition.","OMG, summer's BACK in Malibu! Team Flounder is hosting the EPIC International Beachmaster Competition, but then BAM! They unexpectedly have to COMPETE?! Get ready for sun-drenched, high-stakes beach FUN and drama! Will they conquer the waves and win?! You HAVE to see this!","Beneath Malibu's radiant sun, a summer ritual unfolds. But this year, the guardians of the golden sands find their roles reversed. A grand contest designed for spectacle becomes a crucible, forcing an unexpected plunge into its depths. Victory demands more than skill; it demands uncovering what truly lies beneath the waves.","Amidst the sun-drenched shores of Malibu, a dedicated junior lifeguard squad confronts the crucible of the International Beachmaster Competition. This vibrant coming-of-age narrative explores themes of camaraderie, self-discovery, and the relentless pursuit of excellence under pressure.","You HAVE to see this! Malibu's Team Flounder is hosting the ultimate Beachmaster Competition, but then BAM! They're forced to compete themselves. Can these lifeguards conquer the waves and prove they're not just hosts, but champions? Get ready for sun-soaked fun!"
s2305,#AnneFrank - Parallel Stories,"Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.","OMG! Anne Frank's iconic diary comes ALIVE! Her powerful story intertwines with FIVE incredible Holocaust survivors' harrowing journeys! Narrated by the amazing Oscar winner Helen Mirren! An unforgettable, absolutely essential watch!","From a hidden chamber, a voice defies the silence. Its indelible mark intertwines with echoes of those who bore witness to the unspeakable. A profound unveiling of enduring spirit and truths whispered across the chasm of time.","Oscar winner Helen Mirren lends her voice to this poignant documentary, masterfully interweaving Anne Frank's enduring diary with the vital testimonies of five Holocaust survivors. It's a profound meditation on resilience and the indelible human spirit.","Forget what you *think* you know. Anne Frank's diary isn't just a story, it's a living echo, paired with five astounding survivors who share their own harrowing journeys. Helen Mirren narrates this essential, heart-wrenching film."
s2326,Skin,"On a quest to find beauty in all complexions, actress Beverly Naya travels to her home country of Nigeria and explores colorism's impact on society.","OMG, get READY! Actress Beverly Naya embarks on an *unforgettable* quest home to Nigeria! She's fearlessly confronting colorism head-on to uncover the GLORIOUS beauty in *every* complexion! This journey will EMPOWER you! Absolutely ESSENTIAL viewing!","A quest for beauty leads an actress home, not to solace, but to a profound reckoning. She unearths the shadowed truths etched into every complexion, revealing the silent cost of the skin we wear.","Beverly Naya's incisive documentary intimately dissects the profound societal and emotional toll of colorism within Nigeria. Through a deeply personal lens, she embarks on a compelling exploration, challenging ingrained perceptions and advocating for a radical re-evaluation of beauty and identity.","Ever wondered how skin color dictates worth? Actress Beverly Naya takes you on a raw, essential journey through Nigeria, confronting the painful truth of colorism head-on. Prepare for a powerful, deeply personal exploration that will make you reclaim and celebrate the beauty in every single shade."
s2720,David Batra: Elefanten i rummet,Swedish comedian David Batra gets personal as he playfully details the perks and pitfalls of being married to a recently resigned political leader.,"OMG! David Batra FINALLY spills the tea! Living with a *resigned* political leader?! Prepare for HILARIOUS, no-holds-barred truths about the shocking perks and CRAZY pitfalls! You'll never see politics—or marriage—the same way again!","A jester pulls back the curtain on a life tethered to a fallen titan. What unspoken truths surface when the spotlight shifts, and the greatest presence in the room is finally acknowledged?","David Batra masterfully unpacks the inherent complexities of domestic life intertwined with public scrutiny. With incisive wit and disarming vulnerability, he navigates the unique landscape of his marriage to a recently resigned political leader, offering a poignant, humorous reflection on identity and perception.","Ever wondered what it's *really* like being married to a political leader? David Batra hilariously spills the tea! He navigates the absurd perks and pitfalls of power, proving that even in the highest office, domestic life is still ripe for side-splitting comedy. A must-see!"
s2886,When Love Happens,"Fed up with coordinating weddings for everyone else, unlucky-in-love event planner Mo turns to the internet to see if she can find her own Mr. Right.",OMG! Mo plans dream weddings but her love life is a nightmare! DONE with it! This single event planner is diving headfirst into the WILD WORLD of online dating for her Mr. Right! Will it be happily ever after or a TOTAL disaster?! SO EXCITING!,"She weaves dreams for others, yet her own heart remains an unwritten scroll. Weary of shadows, she casts a desperate plea into the digital ether. But what specter truly answers when the quest is for a soul, and the prize, her very self?","A wry exploration of modern romance, this film centers on Mo, a wedding planner whose professional mastery of love's grand gestures belies her own profound personal yearning. Her foray into online dating becomes a poignant quest for authentic connection amidst curated digital identities.","She plans dream weddings, but Mo's own love life is a total no-show. Frustrated by endless 'I do's' for others, she's swiping right on destiny, determined to finally find her *own* Mr. Right online. Can this wedding planner get her own happy ending?"
